"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2772","TC-SCHEDULE-001: /schedule loads with Schedule nav marked current","ui","2026-06-11","passed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","4564","TC-SEARCH-001: /search renders the On Demand hero + search box","ui","2026-06-11","passed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","7436","TC-AUTH-001: successful login lands on home","ui","2026-06-11","passed","2026-06-11","Sign In","../auth/sign-in.spec.ts","",""
"","77755","TC-HOME-001: all home screen sections","ui","2026-06-11","passed","2026-06-11","Home screen","../ui/home.spec.ts","",""
"","4153","TC-OIA-001: desktop visitor — banner stays hidden","ui","2026-06-11","passed","2026-06-11","Open-in-app modal","../ui/open-in-app.spec.ts","",""
"","3254","TC-FOOTER-001: footer nav + Watch/Support links + legal bar","ui","2026-06-11","passed","2026-06-11","Footer (design system)","../ui/footer.spec.ts","",""
"","5137","TC-FAQ-001: /faq loads, first item open by default","ui","2026-06-11","passed","2026-06-11","FAQ","../ui/faq.spec.ts","",""
"","6501","TC-NAV-001: primary nav routes between Home, Demand and Schedule","ui","2026-06-11","passed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","3480","TC-LEGAL-001: Terms of Use page opens with content","ui","2026-06-11","passed","2026-06-11","Legalese","../ui/legalese.spec.ts","",""
